id,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
NZL,0.14,0.06,0.001,0.21,0.29,0.03,4.03,3.21,20.11,0.76,0.27,4.7,6.3,0.28,0.07,0.08,#N/A,0.04,0.02,0.45,0.25,0.00798,0.27,7.06,17.86,7.56,32.95,0.02,0.75,2.98,9.76,4.12,16.3
NIC,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.005,#N/A,#N/A,#N/A,762,300,458,1337.75,1506.89,398.44,2790.2,4750.27,833,961,2717.97,2207.41,1110.1,3703,6947,9720,13.49,19500,9800,15872.5,7981.6,8435.1
NER,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.21,#N/A,#N/A,0.002,#N/A,0.02,28.87,0.23,#N/A,#N/A,#N/A,2.98,2.2,0.76,#N/A,0.06,#N/A,#N/A,#N/A,#N/A,#N/A,11.77
NGA,#N/A,#N/A,3,#N/A,2.52,#N/A,15.52,0.05,19.56,38.24,110.6,545.39,416.95,1308.67,90.76,15.91,6.16,31.9,9.26,15.06,53.95,195.82,35.35,134.98,124.47,395.91,235.88,393.68,365.49,392.05,706.43,410.8,131.89
NIU,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
NFK,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
NOR,0.24,0.04,0.32,0.15,0.18,1.01,0.27,5.89,2.2,0.3,0.89,4.92,2.37,8.2,4.9,3.8,24.14,4.63,93.02,60.48,12.22,20.75,35.83,30.98,40.51,177.32,40.5,94.56,76.8,61.16,94,46.24,47.55
MNP,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
UMI,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
FSM,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
MHL,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,25,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
PLW,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
PAK,#N/A,#N/A,#N/A,0.99,#N/A,#N/A,0.005,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.1,1.1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1.83,7.39,7.31,0.57,227.86,3.28,#N/A
PAN,54.17,36.25,93.16,57.83,33.54,106.27,434.49,1258.62,1528.98,1969.98,4001.58,#N/A,8799.2,2870.11,5175.37,7227.59,8656.23,11322.85,11772.02,3119.91,7400.33,2656,2586.2,9487,7068,15604.1,36000,60000,51000,52443.29,52429.26,34132.51,27935.6
PNG,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
PRY,0.17,#N/A,#N/A,#N/A,#N/A,46.1,32.05,#N/A,#N/A,#N/A,#N/A,41,67.48,43.97,290,58.63,47.49,77.08,222.35,95.06,96,90,230.15,278.99,468.28,490.98,493,826.91,294.14,600,1409.41,1453.71,3105.33
PER,4755.3,5260.79,3855.62,7184.6,1972.69,3223.08,50450.62,40243,36718.77,9626.07,34284.52,7845.9,7656.63,8872.29,10633.69,22660.85,19694.67,8795.62,9936.97,11307.12,11847.61,9189.36,14568.18,7940.54,13650.08,22397.9,19452.72,14379,28211.17,20657.98,17657.61,10758.3,12677
PHL,#N/A,0.001,#N/A,0.46,1.92,0.52,0.41,0.01,0.02,0.005,2.1,0.002,66.57,8.13,9.42,1.42,1.59,1,1.08,0.23,0.59,#N/A,8.03,0.14,2.42,0.00182,0.00198,0.00428,0.0005,259.2786,341.92538,17.82,15.4
PCN,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
POL,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,109.8,48.8,107.37,525.7,383.23,31.38,15.5,21.16,20.08,5.66,#N/A,422.18,401.22,21.72,16.87,21.93,160.98,#N/A,117.49,111.03,78.12,213.39
PRT,0.04,75.54,4.34,46.46,59.33,69.96,164.67,222.12,301.49,793.1,360.35,1094.2,1860.04,218.81,1719.41,2115.83,811.57,3162.64,624.95,822.56,3075.37,5573.99,3140.1,3021.12,7422.75,18083.23,34477.48,7362.98,4877.9,2697.08,3244.35,3678.22,4011.27
GNB,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
TMP,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
PRI,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,15167,12512,11072,15153,10344,9977,5516,2831,208.28,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
QAT,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,9.84,#N/A
REU,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ROM,#N/A,#N/A,#N/A,#N/A,#N/A,0.01,#N/A,#N/A,#N/A,#N/A,#N/A,13.17,17.67,105.66,#N/A,16.09,712.61,69.56,1.2,9.67,13.14,2.52,2.72,12.68,24.58,109.71,10.72,46.7,3.92,1283,2.57,161.04,54.7
RUS,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,4.69,1097.88,1.26,44.8,73.8,70.82,100.34,12.75,65,82.5,58.16,53.35,92.65,109,16.6,157.64,76.82,92.23,266.2,282.1,67.9
RWA,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1,2,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,4,#N/A,35.01,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
SHN,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
KNA,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.33,42,1087,420,5.81,#N/A,150,1,10,53,20,#N/A,36,6.24,5368,#N/A,0.29,#N/A,#N/A,#N/A,5,#N/A
AIA,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,313,#N/A,#N/A,544.32,342,611,289,0.003,0.11,0.02,#N/A,926,#N/A,#N/A,0.008,4.96,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
LCA,#N/A,#N/A,#N/A,#N/A,#N/A,0.006,#N/A,#N/A,9.33,6.8,352,#N/A,13.29,13.29,17.52,27.25,19.8,7.78,78.14,133,110.47,63,#N/A,433,52.54,99,50.7,792.5,21,90.8,48.87,199,#N/A
#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
SPM,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
VCT,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.13,#N/A,#N/A,#N/A,1.69,#N/A,6,61,13,2,1,13,15,51,207,#N/A,1.5,28,58.32,#N/A,524.4,3,8.5,#N/A,39,#N/A
SMR,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.05,#N/A,0.004,0.007,0.007,0.003,0.02,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
STP,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.1,#N/A,0.1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
SAU,#N/A,#N/A,#N/A,#N/A,1.35,0.5,0.65,0.02,#N/A,0.36,1.16,3,0.53,5.91,9.64,4.31,11.81,0.35,2.2,4.91,0.71,0.03,1.53,0.9,#N/A,#N/A,#N/A,5.91,2.16,0.02,25.24,26.4748,4.44
SEN,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.003,0.66,3.92,5.74,20.34,0.86,0.95,11.83,7.94,8.11,#N/A,5.32,31.56,0.21,#N/A,0.84,#N/A,#N/A,18.5,27.7,2450,72.034,172.035,44.068,#N/A,#N/A
SRB,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.0346,1.406,8.482,0.0105,3.785,1.721,#N/A,2.15,1.446,2,2.6,7.2
SYC,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
SLE,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.16,0.003,0.16,0.003,4,0.002,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,6,#N/A,#N/A,#N/A,703.5,#N/A,#N/A,#N/A,#N/A
SGP,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1.05,#N/A,#N/A,#N/A,#N/A,#N/A,0.06,0.02,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
SVK,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1.3,#N/A,25.71,#N/A,9.58,1.64,2.51,0.17,#N/A,#N/A,0.7,1.98,0.36,0.96,0.28,0.6,2.01,0.39,35.26,1.75
VNM,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,2,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
SVN,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.12,2.81,1.91,3.24,0.83,3.57,3.52,1.58,0.1,1.08,55.38,1.61,106.69,2.14,4.67,81.38,90.67,2.97,2.01,1.7,26.82
SOM,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
SSD,#N/A,0.16,3,0.17,0.61,0.26,4.4,1.4,1.19,1642,10.09,38.83,11.63,78.39,69.56,187.76,106.63,151.52,635.91,345.55,91.2,155.3,398.96,776.73,593.04,309.56,360.25,545.4,156,234,#N/A,#N/A,145
ZWE_,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,2.12,4.2,3.46,4.34,0.09,0.6,#N/A,0.5,0.17,0.59,#N/A,#N/A,#N/A,0.0057,0.005,0.002,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ESP,58.19,50,113.62,275.14,277.03,302.54,668.92,1135.37,3470.9,1852.23,5512.02,7573.81,4454.19,5350.74,4016.29,6897.02,13742.9,18418.76,11687.62,18110.88,6164.77,33680.69,17617.31,49278.93,33135.3,48429.17,49652.7,37787.27,27981.04,25401.79,25246.96,16609,20753.68
#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ZAF,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.04,#N/A,0.1,0.5,0.2,#N/A,0.13,#N/A,#N/A,0.001,0.59,#N/A,1.92,2,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ESH,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
SUR,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,4,0.08,#N/A,204,#N/A,#N/A,#N/A,#N/A,219,63.62,1412.69,116.1,283.44,185,207,2253,340,814,750.4,1507,577,206,228.1,575,342.7,415,395
SJM,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
SWZ,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.42,2.77,6.74,9.65,#N/A,3.61,6.83,1.01,1.06,3.83,#N/A,0.66,#N/A,0.66,284,560,#N/A,#N/A,#N/A
SWE,1.63,0.27,0.21,0.46,43.35,0.78,2.8,0.66,5.75,4.59,7.18,288.6,62.84,13.43,28.84,4.04,28.7,33.92,18.5,413.94,52.26,47.39,41,42.07,29,33,1358,40.02,49,75,32.88,88.7,34.4
CHE,14.1,11.04,48.56,52.47,23.18,57.96,101.99,112.93,226.15,306.1,339.35,333.47,329.9,333.95,295.36,262.09,255.68,349.43,251.62,287.99,207.47,168.62,185.94,188.61,361.45,282.59,354.3,404.11,284.3,556.08,355.37,401,249
SYR,#N/A,#N/A,#N/A,2.16,0.01,0.001,0.03,38.73,1.16,0.46,0.03,12.5,13.01,11.6,0.01,5.15,1.67,0.24,0.24,32.1,7.18,1.03,57.24,36.74,40.48,14.4,1.92,77.34,150,19,2.2,2,66
TJK,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.16,#N/A,#N/A,#N/A,#N/A
THA,#N/A,0.01,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,7.02,#N/A,3.19,#N/A,1.01,2.26,2.43,3.56,0.62,4,4.62,14.73,11,7,6.29,36.04,18.07,12.8,9,30.82,31.94,17.9
TGO,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,3.3,2.31,0.007,#N/A,19.04,#N/A,#N/A,#N/A,1.08,13.87,#N/A,2.33,6.21,29.93,3.05,1.78,412,43.62,29.69,68.08,393.29,34,0.96,420,#N/A
TKL,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
TON,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
TTO,#N/A,#N/A,#N/A,15,#N/A,#N/A,#N/A,14.82,36.24,62.89,115.68,#N/A,93.67,56.96,390.97,95,179.38,71,77.68,137,#N/A,820.84,172.77,172.77,590,1891.82,1316.08,423.3,180.1,674.2,697.5,170.4,129
ARE,#N/A,#N/A,#N/A,#N/A,#N/A,0.03,#N/A,0.004,#N/A,#N/A,0.51,0.12,61.4,#N/A,#N/A,0.002,0.04,#N/A,0.15,0.84,0.54,0.007,0.01,0.41,0.2,#N/A,#N/A,6.5,46.04,51.44,46.52,#N/A,204
TUN,#N/A,#N/A,0.004,#N/A,#N/A,#N/A,#N/A,#N/A,9.38,#N/A,#N/A,0.85,6.28,#N/A,#N/A,#N/A,0.001,0.05,0.13,0.02,#N/A,#N/A,1.06,0.54,1,0.03,29.67,23.1,#N/A,#N/A,#N/A,#N/A,#N/A
TUR,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.05,0.82,0.15,1.24,1.27,6.86,9,21.22,75.67,13,9.64,604.88,13.15,8.44,2.01,7.73,2.83,125.68,41.03,77.02,115.88,94.38,88.76,302.25,591.9,475.86
TKM,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
TCA,65.32,12,23.13,0.14,#N/A,#N/A,0.23,1.36,0.43,#N/A,#N/A,40.5,0.03,#N/A,20,45,400,1.5,2075,3,0.14,4,1.5,48.17,#N/A,3.31,0.07,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
TUV,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
UGA,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.15,#N/A,#N/A,#N/A,3,0.82,#N/A,#N/A,#N/A,4,#N/A,#N/A,0.41,1.91,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,5,17.2
UKR,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,6.4,#N/A,#N/A,625.01,250.59,26.26,0.52,0.02,0.01,0.09,16.82,2.06,3.33,19.3,43.9,10.42,2.5,6.31,43.59
MKD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
EGY,#N/A,#N/A,#N/A,0.005,0.09,1.05,2.43,1.78,0.52,#N/A,0.92,0.52,0.29,1.36,1.2,0.22,0.93,0.91,1.86,0.79,14.2,0.72,4.07,0.55,2.03,0.05,0.07,3.08,1,56.45,5.38,1.5,40.41
GBR,40.2,21.06,18.78,95.74,65.5,85.39,101.89,406.8,323.2,498.8,611,1077.8,2248.2,716.7,2261.5,672.1,1219.3,2350.2,2985.32,2956.6,3944.98,2841.75,3576,6868,4638,3862,3321,3557,3025,2746,2543,3568,3324
#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
TZA,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.3,#N/A,2.2,#N/A,#N/A,#N/A,0.2,#N/A,1.16,2.1,7.34,2.46,1.73,0.62,0.36,4.13,6.6,3.5,4,64.97,126.34,151
USA,3470.89,1975,5666.65,8901.73,11495.1,25776.01,45000,56400,102375,130135.35,84831,120343,119770,110962.5,129543,110842.2,128725.1,102000,117000,132318,99700,117734.1,104426.48,119786.88,164405.45,196320.77,177979.46,144630.83,134861.68,121819.36,89124.86,105518.74,104345.13
VIR,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
BFA,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,6.64,#N/A,#N/A,#N/A,0.09,3,#N/A,0.26,278,#N/A,#N/A,#N/A,#N/A,#N/A,0.03,0.16,0.03,0.01,49,20.62,23.5,#N/A,0.25,#N/A
URY,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,7.4,1.75,6.7,28.79,2.07,6.89,3.16,25.55,19.45,231.72,84.79,27.97,23.6,18.7,20.64,24.76,43.01,49.92,66.26,103.27,569.2,767.81,915,2650.59,440.9,265.67,684.891
